ticker
LW
TROW
MRNA
BAX
AWK
ESS
PEP
IRM
LRCX
CAG
AME
NWSA
CLX
DVA
F
A
RF
BBWI
CSX
IP
WBA
BXP
GE
CAT
XOM
L
EW
JPM
CTVA
DHR
NUE
NWL
AEP
RE
PEG
FIS
CARR
HPE
CCI
EQR
HST
TPR
LYB
TGT
ALGN
MS
ED
STZ
LH
HAL
ADP
FDX
WRK
HIG
CDW
WHR
URI
PPL
KR
FOXA
EFX
UAA
PYPL
HES
FRT
FANG
MRO
MPC
WRB
DXCM
SNA
VRSN
ITW
MO
DOW
UAL
CBRE
IDXX
CPT
DD
BMY
ULTA
AIZ
DUK
ETN
FE
MAA
QRVO
NFLX
FOX
TWTR
NTAP
SLB
LIN
V
CBOE
QCOM
GIS
CF
PTC
D
AAP
XYL
TFC
LHX
ETR
TEL
PHM
MRK
CVS
AON
MTB
DRE
VRSK
MNST
SWKS
EMR
CTRA
ZION
LKQ
MTCH
NEM
ALLE
DLR
RJF
HWM
PXD
PGR
VRTX
LMT
CDAY
KHC
SCHW
MCK
USB
MPWR
SBAC
VZ
SJM
APTV
CVX
CHD
PPG
MAR
DLTR
K
VICI
KEYS
CSCO
DIS
TDY
IR
ODFL
DVN
EXC
SO
PH
MLM
ICE
PAYX
STT
FBHS
SRE
HII
